seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
4,896,1,fid50k_full,interaction_B-C-D+A,-1.166101792206927,True,PASS
4,896,1,kid50k_full,B-A,0.00013298040040040596,True,PASS
4,896,1,kid50k_full,C-A,0.0007123642067066883,True,PASS
4,896,1,kid50k_full,B-D,-0.00016330596846845374,True,PASS
4,896,1,kid50k_full,D-A,0.0002962863688688597,True,PASS
4,896,1,kid50k_full,B-C,-0.0005793838063062823,True,PASS
4,896,1,kid50k_full,interaction_B-C-D+A,-0.000875670175175142,True,PASS
4,896,2,fid50k_full,B-A,0.07223205595408677,True,PASS
4,896,2,fid50k_full,C-A,0.035979781071374894,True,PASS
4,896,2,fid50k_full,B-D,6.424987500430746e-05,True,PASS
4,896,2,fid50k_full,D-A,0.07216780607908246,True,PASS
4,896,2,fid50k_full,B-C,0.03625227488271188,True,PASS
4,896,2,fid50k_full,interaction_B-C-D+A,-0.03591553119637059,True,PASS
4,896,2,kid50k_full,B-A,4.649490740743663e-05,True,PASS
4,896,2,kid50k_full,C-A,3.0048223223234243e-05,True,PASS
4,896,2,kid50k_full,B-D,-2.542691191191799e-05,True,PASS
4,896,2,kid50k_full,D-A,7.192181931935462e-05,True,PASS
4,896,2,kid50k_full,B-C,1.6446684184202387e-05,True,PASS
4,896,2,kid50k_full,interaction_B-C-D+A,-5.5475135135152234e-05,True,PASS
4,1024,1,fid50k_full,B-A,0.22880847730252363,True,PASS
4,1024,1,fid50k_full,C-A,0.9075570488227793,True,PASS
4,1024,1,fid50k_full,B-D,-0.07188004431073836,True,PASS
4,1024,1,fid50k_full,D-A,0.300688521613262,True,PASS
4,1024,1,fid50k_full,B-C,-0.6787485715202557,True,PASS
4,1024,1,fid50k_full,interaction_B-C-D+A,-0.9794370931335177,True,PASS
4,1024,1,kid50k_full,B-A,0.00015617391141142453,True,PASS
4,1024,1,kid50k_full,C-A,0.000765232882882879,True,PASS
4,1024,1,kid50k_full,B-D,3.086195945947116e-05,True,PASS
4,1024,1,kid50k_full,D-A,0.00012531195195195338,True,PASS
4,1024,1,kid50k_full,B-C,-0.0006090589714714545,True,PASS
4,1024,1,kid50k_full,interaction_B-C-D+A,-0.0007343709234234079,True,PASS
4,1024,2,fid50k_full,B-A,0.022794518863958224,True,PASS
4,1024,2,fid50k_full,C-A,0.04352706706628062,True,PASS
4,1024,2,fid50k_full,B-D,-0.0017358775464559884,True,PASS
4,1024,2,fid50k_full,D-A,0.024530396410414212,True,PASS
4,1024,2,fid50k_full,B-C,-0.0207325482023224,True,PASS
4,1024,2,fid50k_full,interaction_B-C-D+A,-0.04526294461273661,True,PASS
4,1024,2,kid50k_full,B-A,3.806650900903155e-05,True,PASS
4,1024,2,kid50k_full,C-A,4.3085427927935706e-05,True,PASS
4,1024,2,kid50k_full,B-D,6.55772272275504e-06,True,PASS
4,1024,2,kid50k_full,D-A,3.150878628627651e-05,True,PASS
4,1024,2,kid50k_full,B-C,-5.0189189189041566e-06,True,PASS
4,1024,2,kid50k_full,interaction_B-C-D+A,-3.6527705205180666e-05,True,PASS
5,256,1,fid50k_full,B-A,-9.783952471823454,True,PASS
5,256,1,fid50k_full,C-A,-10.224666098340833,True,PASS
5,256,1,fid50k_full,B-D,-6.345443356425562,True,PASS
5,256,1,fid50k_full,D-A,-3.438509115397892,True,PASS
5,256,1,fid50k_full,B-C,0.440713626517379,True,PASS
5,256,1,fid50k_full,interaction_B-C-D+A,3.879222741915271,True,PASS
5,256,1,kid50k_full,B-A,-0.0033096906006006566,True,PASS
5,256,1,kid50k_full,C-A,-0.0036993127652653057,True,PASS
5,256,1,kid50k_full,B-D,-0.0036306369419420448,True,PASS
5,256,1,kid50k_full,D-A,0.0003209463413413882,True,PASS
5,256,1,kid50k_full,B-C,0.00038962216466464916,True,PASS
5,256,1,kid50k_full,interaction_B-C-D+A,6.867582332326094e-05,True,PASS
5,256,2,fid50k_full,B-A,-5.030243651722827,True,PASS
5,256,2,fid50k_full,C-A,-4.780505693304704,True,PASS
5,256,2,fid50k_full,B-D,-5.172029347056025,True,PASS
5,256,2,fid50k_full,D-A,0.14178569533319774,True,PASS
5,256,2,fid50k_full,B-C,-0.24973795841812318,True,PASS
5,256,2,fid50k_full,interaction_B-C-D+A,-0.3915236537513209,True,PASS
5,256,2,kid50k_full,B-A,-0.006031466656656707,True,PASS
5,256,2,kid50k_full,C-A,-0.005642615695695706,True,PASS
5,256,2,kid50k_full,B-D,-0.005990743778778743,True,PASS
5,256,2,kid50k_full,D-A,-4.072287787796475e-05,True,PASS
5,256,2,kid50k_full,B-C,-0.00038885096096100136,True,PASS
5,256,2,kid50k_full,interaction_B-C-D+A,-0.0003481280830830366,True,PASS
5,384,1,fid50k_full,B-A,-65.65356218430816,True,PASS
5,384,1,fid50k_full,C-A,-66.5426475820839,True,PASS
5,384,1,fid50k_full,B-D,-36.04674159129803,True,PASS
5,384,1,fid50k_full,D-A,-29.606820593010127,True,PASS
5,384,1,fid50k_full,B-C,0.8890853977757445,True,PASS
5,384,1,fid50k_full,interaction_B-C-D+A,30.49590599078587,True,PASS
5,384,1,kid50k_full,B-A,-0.07913088319069067,True,PASS
5,384,1,kid50k_full,C-A,-0.08002125640140145,True,PASS
5,384,1,kid50k_full,B-D,-0.04258510524774761,True,PASS
5,384,1,kid50k_full,D-A,-0.03654577794294306,True,PASS
5,384,1,kid50k_full,B-C,0.000890373210710782,True,PASS
5,384,1,kid50k_full,interaction_B-C-D+A,0.03743615115365384,True,PASS
5,384,2,fid50k_full,B-A,-18.86203928190465,True,PASS
5,384,2,fid50k_full,C-A,-19.542292284573428,True,PASS
5,384,2,fid50k_full,B-D,-8.296992640494743,True,PASS
5,384,2,fid50k_full,D-A,-10.565046641409907,True,PASS
5,384,2,fid50k_full,B-C,0.6802530026687776,True,PASS
5,384,2,fid50k_full,interaction_B-C-D+A,11.245299644078685,True,PASS
5,384,2,kid50k_full,B-A,-0.019331740910910982,True,PASS
5,384,2,kid50k_full,C-A,-0.01972714228978982,True,PASS
5,384,2,kid50k_full,B-D,-0.0074303064639639795,True,PASS
5,384,2,kid50k_full,D-A,-0.011901434446947003,True,PASS
5,384,2,kid50k_full,B-C,0.0003954013788788364,True,PASS
5,384,2,kid50k_full,interaction_B-C-D+A,0.012296835825825837,True,PASS
5,512,1,fid50k_full,B-A,5.606324257114551,True,PASS
5,512,1,fid50k_full,C-A,5.346817059252295,True,PASS
5,512,1,fid50k_full,B-D,-2.1959007168326536,True,PASS
5,512,1,fid50k_full,D-A,7.8022249739472045,True,PASS
5,512,1,fid50k_full,B-C,0.2595071978622556,True,PASS
5,512,1,fid50k_full,interaction_B-C-D+A,-7.542717776084949,True,PASS
5,512,1,kid50k_full,B-A,0.005942756826826899,True,PASS
5,512,1,kid50k_full,C-A,0.0060128559484484735,True,PASS
5,512,1,kid50k_full,B-D,-0.00114591307057052,True,PASS
5,512,1,kid50k_full,D-A,0.007088669897397419,True,PASS
5,512,1,kid50k_full,B-C,-7.009912162157447e-05,True,PASS
5,512,1,kid50k_full,interaction_B-C-D+A,-0.007158769019018994,True,PASS
5,512,2,fid50k_full,B-A,1.7683846733324842,True,PASS
5,512,2,fid50k_full,C-A,1.7450032591099935,True,PASS
5,512,2,fid50k_full,B-D,0.2909903370833131,True,PASS
5,512,2,fid50k_full,D-A,1.477394336249171,True,PASS
5,512,2,fid50k_full,B-C,0.023381414222490626,True,PASS
5,512,2,fid50k_full,interaction_B-C-D+A,-1.4540129220266804,True,PASS
5,512,2,kid50k_full,B-A,0.0027684981531531554,True,PASS
