budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
256,2,kid50k_full,B-C,3,-0.07128743008091429,0.13236323799677507,-0.22399741374624627,0.010523974464464417,2,1,0
256,2,kid50k_full,B-D,3,-0.06613019120453788,0.05522006758649596,-0.11454905690690693,-0.005990743778778743,3,0,0
256,2,kid50k_full,C-A,3,0.01387861794044045,0.03959364465891208,-0.012163667014514518,0.059442136531531575,2,1,0
256,2,kid50k_full,D-A,3,0.008721379064064054,0.06356321712221567,-0.05000622030780774,0.07621108037787787,2,1,0
256,2,kid50k_full,interaction_B-C-D+A,3,-0.08000880914497832,0.08770297557147547,-0.1739911934384385,-0.0003481280830830366,3,0,0
384,1,fid50k_full,B-A,3,-28.949843094448216,31.909783140427088,-65.65356218430816,-7.7940552696628345,3,0,0
384,1,fid50k_full,B-C,3,66.29358417626118,115.57581381857179,-1.748681890557009,199.74034902156478,1,2,0
384,1,fid50k_full,B-D,3,-26.263070387597708,8.806504133822294,-36.04674159129803,-18.970329041566202,3,0,0
384,1,fid50k_full,C-A,3,-95.24342727070939,106.48981766432642,-213.14226085093844,-6.0453733791058255,3,0,0
384,1,fid50k_full,D-A,3,-2.6867727068505096,23.31692863155665,-29.606820593010127,11.176273771903368,1,2,0
384,1,fid50k_full,interaction_B-C-D+A,3,68.98035688311168,106.49701480394812,-12.924955662460377,189.37012032100955,1,2,0
384,1,kid50k_full,B-A,3,-0.03567051403403406,0.038037664029957924,-0.07913088319069067,-0.008439318691191411,3,0,0
384,1,kid50k_full,B-C,3,0.0687398258825492,0.12073669851999166,-0.0028090899799800284,0.20813819441691686,1,2,0
384,1,kid50k_full,B-D,3,-0.02955970996830169,0.011580973536017303,-0.04258510524774761,-0.020425322720220407,3,0,0
384,1,kid50k_full,C-A,3,-0.10441033991658326,0.11296678337583535,-0.22757953463713695,-0.0056302287112113825,3,0,0
384,1,kid50k_full,D-A,3,-0.006110804065732371,0.026514264396738606,-0.03654577794294306,0.011986004029028996,1,2,0
384,1,kid50k_full,interaction_B-C-D+A,3,0.07485062994828158,0.11309397457570185,-0.014795094009009024,0.2019108327001999,1,2,0
384,2,fid50k_full,B-A,3,-28.878146260492034,32.71238943681255,-65.42757929175892,-2.344820207812532,3,0,0
384,2,fid50k_full,B-C,3,-36.52107692082497,65.00573861912413,-111.58227537598131,1.3387916108376388,1,2,0
384,2,fid50k_full,B-D,3,-20.603079852920114,11.173513700185607,-30.112843815130752,-8.296992640494743,3,0,0
384,2,fid50k_full,C-A,3,7.6429306603329366,34.281795366908376,-19.542292284573428,46.15469608422241,2,1,0
384,2,fid50k_full,D-A,3,-8.275066407571918,28.254345161994195,-35.31473547662816,21.054582895322312,2,1,0
384,2,fid50k_full,interaction_B-C-D+A,3,-28.246010513253044,44.37564367202744,-76.26753989935314,11.245299644078685,2,1,0
384,2,kid50k_full,B-A,3,-0.030010253170670676,0.03468177535873968,-0.06877558555805799,-0.001923433043043054,3,0,0
384,2,kid50k_full,B-C,3,-0.04242281275191858,0.07473013607488141,-0.1287129158158158,0.0010490761811812119,1,2,0
384,2,kid50k_full,B-D,3,-0.018205372803636974,0.009904139634418423,-0.026911857755255245,-0.0074303064639639795,3,0,0
384,2,kid50k_full,C-A,3,0.01241255958124791,0.04200157500834436,-0.01972714228978982,0.05993733025775781,2,1,0
384,2,kid50k_full,D-A,3,-0.011804880367033702,0.030107240594491585,-0.041863727802802744,0.01835052114864864,2,1,0
384,2,kid50k_full,interaction_B-C-D+A,3,-0.030617932384884878,0.05089675960821651,-0.08684918801301304,0.012296835825825837,2,1,0
512,1,fid50k_full,B-A,3,0.2762425574693239,5.0212839322789655,-4.365149509848095,5.606324257114551,2,1,0
512,1,fid50k_full,B-C,3,-2.7557433566937575,3.5842684496284645,-6.718603528831984,0.2595071978622556,2,1,0
512,1,fid50k_full,B-D,3,-20.91248701444677,16.238988317204047,-31.256574051073258,-2.1959007168326536,3,0,0
