control,eta_scale,g,K,noise,error
fixed_lr,0.1,0.5,1000,0.05,0.0010194836719890773
fixed_lr,0.1,0.55,50,0.0,0.0001034519301226896
fixed_lr,0.1,0.55,50,0.01,0.00010583452841771463
fixed_lr,0.1,0.55,50,0.05,0.00016301688749831528
fixed_lr,0.1,0.55,200,0.0,9.877739947658483e-05
fixed_lr,0.1,0.55,200,0.01,0.00010660398493458793
fixed_lr,0.1,0.55,200,0.05,0.00029444203592666194
fixed_lr,0.1,0.55,1000,0.0,9.872139918579262e-05
fixed_lr,0.1,0.55,1000,0.01,0.00013542424687703548
fixed_lr,0.1,0.55,1000,0.05,0.0010162925914668638
fixed_lr,0.1,0.6,50,0.0,0.00010135924965881037
fixed_lr,0.1,0.6,50,0.01,0.00010366172170754211
fixed_lr,0.1,0.6,50,0.05,0.00015892105087710376
fixed_lr,0.1,0.6,200,0.0,9.877422687962274e-05
fixed_lr,0.1,0.6,200,0.01,0.00010650567810903321
fixed_lr,0.1,0.6,200,0.05,0.0002920605076148854
fixed_lr,0.1,0.6,1000,0.0,9.870808841575341e-05
fixed_lr,0.1,0.6,1000,0.01,0.00013531348602107123
fixed_lr,0.1,0.6,1000,0.05,0.0010138430285486994
fixed_lr,0.1,0.65,50,0.0,0.00010012792935985547
fixed_lr,0.1,0.65,50,0.01,0.00010236361286366866
fixed_lr,0.1,0.65,50,0.05,0.000156020016955185
fixed_lr,0.1,0.65,200,0.0,9.877120003439891e-05
fixed_lr,0.1,0.65,200,0.01,0.00010642858429202631
fixed_lr,0.1,0.65,200,0.05,0.0002902058064750832
fixed_lr,0.1,0.65,1000,0.0,9.86936324297847e-05
fixed_lr,0.1,0.65,1000,0.01,0.00013522244860512579
fixed_lr,0.1,0.65,1000,0.05,0.0010119140368133116
fixed_lr,0.1,0.7,50,0.0,9.944652914676153e-05
fixed_lr,0.1,0.7,50,0.01,0.0001016268364719414
fixed_lr,0.1,0.7,50,0.05,0.00015395421227625848
fixed_lr,0.1,0.7,200,0.0,9.876797986523685e-05
fixed_lr,0.1,0.7,200,0.01,0.00010636656707583383
fixed_lr,0.1,0.7,200,0.05,0.0002887326601301622
fixed_lr,0.1,0.7,1000,0.0,9.86780317278495e-05
fixed_lr,0.1,0.7,1000,0.01,0.0001351453357189007
fixed_lr,0.1,0.7,1000,0.05,0.0010103606315041303
fixed_lr,0.1,0.75,50,0.0,9.909178604728917e-05
fixed_lr,0.1,0.75,50,0.01,0.00010122620943962632
fixed_lr,0.1,0.75,50,0.05,0.00015245237085571842
fixed_lr,0.1,0.75,200,0.0,9.876453298411239e-05
fixed_lr,0.1,0.75,200,0.01,0.00010631565973757658
fixed_lr,0.1,0.75,200,0.05,0.00028754270182071835
fixed_lr,0.1,0.75,1000,0.0,9.866128684968045e-05
fixed_lr,0.1,0.75,1000,0.01,0.0001350782144630726
fixed_lr,0.1,0.75,1000,0.05,0.0010090844771844852
fixed_lr,0.1,0.8,50,0.0,9.891794199963769e-05
fixed_lr,0.1,0.8,50,0.01,0.00010101423390177873
fixed_lr,0.1,0.8,50,0.05,0.0001513252395531634
fixed_lr,0.1,0.8,200,0.0,9.876085681300498e-05
fixed_lr,0.1,0.8,200,0.01,0.00010627311546359339
fixed_lr,0.1,0.8,200,0.05,0.0002865673230777145
fixed_lr,0.1,0.8,1000,0.0,9.864339837483667e-05
fixed_lr,0.1,0.8,1000,0.01,0.00013501834123359679
fixed_lr,0.1,0.8,1000,0.05,0.0010080169698438392
