batch_index,gap,loss_mean,grad_l2,grad_l2_sq,grad_linf,dot_to_g1,t_mean,t_min,t_max,gap_mean,scalar_fit_to_g1,direction_residual_to_g1
22,0.9,15.504337310791016,487.84405060259473,237991.817708347,46.1875,212668.4911658898,1.772966980934143,0.0035403829533606768,59.01939010620117,0.025171633809804916,1.109149819671605,0.016601580077465573
22,1.2,15.440536499023438,366.2131175786133,134112.04748664727,34.90625,159642.34421633242,1.772966980934143,0.0035403829533606768,59.01939010620117,0.033562175929546356,0.8252568972250803,0.02323872640363378
22,1.3,15.435230255126953,333.5428997462572,111250.86597114179,31.234375,145401.80795624494,1.772966980934143,0.0035403829533606768,59.01939010620117,0.0363590270280838,0.7553912042256966,0.019376378429408276
23,1.0,14.751800537109375,492.7110140625119,242764.14337850877,40.125,242764.14337850877,3.5940637588500977,0.0033162932377308607,234.5770721435547,0.028071679174900055,1.0,0.0
23,0.9,14.796283721923828,550.1588406721969,302674.7499697758,44.25,271049.6630660406,3.5940637588500977,0.0033162932377308607,234.5770721435547,0.02526451274752617,1.109149819671605,0.013730656367867735
23,1.2,14.720787048339844,397.153910019535,157731.2282438049,33.375,195647.13122022222,3.5940637588500977,0.0033162932377308607,234.5770721435547,0.033686019480228424,0.8252568972250803,0.030549216216175942
23,1.3,14.712244033813477,365.94139107252306,133913.10170009325,30.578125,180254.65089933947,3.5940637588500977,0.0033162932377308607,234.5770721435547,0.03649317845702171,0.7553912042256966,0.02899979208364256
24,1.0,17.60097312927246,476.6987093220152,227241.65946927512,44.28125,227241.65946927512,1.9642693996429443,0.0007073797169141471,41.439544677734375,0.029362153261899948,1.0,0.0
24,0.9,17.654415130615234,533.7222502392706,284859.4404004705,49.0,254408.34795003204,1.9642693996429443,0.0007073797169141471,41.439544677734375,0.026425939053297043,1.109149819671605,0.014658809885467835
24,1.2,17.53302001953125,394.1845968763482,155381.49641456918,36.9375,187883.8409337327,1.9642693996429443,0.0007073797169141471,41.439544677734375,0.03523457795381546,0.8252568972250803,0.01590727739276139
24,1.3,17.512365341186523,356.95233652321355,127414.97054938148,34.0,170123.89669312155,1.9642693996429443,0.0007073797169141471,41.439544677734375,0.038170795887708664,0.7553912042256966,0.022143808694109115
25,1.0,15.957072257995605,557.8612394404802,311209.1624700688,50.71875,311209.1624700688,1.897792100906372,0.0008325448725372553,40.76921463012695,0.02924998477101326,1.0,0.0
25,0.9,16.00586700439453,619.1609417818286,383360.27182816085,55.5,345389.9143096775,1.897792100906372,0.0008325448725372553,40.76921463012695,0.026324987411499023,1.109149819671605,0.009637525555056104
25,1.2,15.913347244262695,455.7148896440308,207676.06064327116,42.375,254195.75752942238,1.897792100906372,0.0008325448725372553,40.76921463012695,0.03509998321533203,0.8252568972250803,0.01850669245612578
25,1.3,15.894137382507324,413.8576362092451,171278.14304870385,38.59375,230809.1454042811,1.897792100906372,0.0008325448725372553,40.76921463012695,0.03802498057484627,0.7553912042256966,0.030240704682293784
26,1.0,15.105283737182617,669.1033605296143,447699.30707202293,52.78125,447699.30707202293,1.3995835781097412,0.005414149258285761,15.396209716796875,0.02884848043322563,1.0,0.0
26,0.9,15.151395797729492,733.8467451361839,538531.0453469713,58.9375,490994.74753541494,1.3995835781097412,0.005414149258285761,15.396209716796875,0.02596362866461277,1.109149819671605,0.015126755672232645
26,1.2,15.05691909790039,543.9915332286702,295926.7882244794,44.15625,363936.27052849944,1.3995835781097412,0.005414149258285761,15.396209716796875,0.03461817279458046,0.8252568972250803,0.02252115693870241
26,1.3,15.05023193359375,499.1873691301925,249188.02949912305,40.84375,333936.9599647906,1.3995835781097412,0.005414149258285761,15.396209716796875,0.03750302642583847,0.7553912042256966,0.024228225241735988
