arm,batch_id,direction_id,regime,status,finest_relative_change,finest_cosine,finest_norm_ratio,selected_jvp_l2,finite,source_preserved,amp_branch_pairing,amp_sweep_pairing,discrete_state_pairing,receipt
C,2026082602,2026082612,E_full_field_pseudohuber_fp32,PASS,0.0035464114013166884,0.9999951882257563,0.9982766107639216,19842.81753260307,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082612_E_full_field_pseudohuber_fp32.json
C,2026082602,2026082613,A_squared_gn_fp32,PASS,0.030367314457647735,0.9995798812734457,0.9905182680614654,10.475584116605594,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082613_A_squared_gn_fp32.json
C,2026082602,2026082613,B_real_loss_gn_fp32,PASS,0.03598447876393689,0.9993663801691416,1.0046620882697135,91.11853784685587,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082613_B_real_loss_gn_fp32.json
C,2026082602,2026082613,C_full_field_fp32,PASS,0.007147723574023169,0.9999745584950264,1.0004301785266767,18130.552768874906,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082613_C_full_field_fp32.json
C,2026082602,2026082613,D_production_algorithmic,FAIL_CLOSED,0.8498547632784256,0.6873214530894114,1.1285287723215034,5399.488282736656,True,True,True,True,True,formal/shard1/armC_batch2026082602_dir2026082613_D_production_algorithmic.json
C,2026082602,2026082613,E_full_field_pseudohuber_fp32,PASS,0.010702716602359292,0.9999427248057143,0.999974889161717,11023.635731745204,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082613_E_full_field_pseudohuber_fp32.json
C,2026082602,2026082614,A_squared_gn_fp32,PASS,0.008890041389287904,0.9999655377037441,1.0031450708519543,24.291246794419276,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082614_A_squared_gn_fp32.json
C,2026082602,2026082614,B_real_loss_gn_fp32,PASS,0.02161669345984593,0.9997889105974395,1.0065080764497087,107.34967637585126,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082614_B_real_loss_gn_fp32.json
C,2026082602,2026082614,C_full_field_fp32,PASS,0.008056463014437545,0.9999678583294005,0.99917773923068,16978.29337237181,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082614_C_full_field_fp32.json
C,2026082602,2026082614,D_production_algorithmic,FAIL_CLOSED,1.1888565925001287,0.5071373950308828,1.3260197644648146,6135.97298674945,True,True,True,True,True,formal/shard0/armC_batch2026082602_dir2026082614_D_production_algorithmic.json
C,2026082602,2026082614,E_full_field_pseudohuber_fp32,PASS,0.011160707800325617,0.9999398881473678,0.997856307869792,11662.42119116016,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082614_E_full_field_pseudohuber_fp32.json
