seed,horizon,space,block,contrast,value
4,4,state,EMA,conditional_interaction,-7.241851562866941e-08
4,4,state,m,target_effect_denominator_1p0,-4.965189083540622
4,4,state,m,target_effect_denominator_1p1,56.22076361657912
4,4,state,m,denominator_effect_target_1p0,-51.49829037804534
4,4,state,m,denominator_effect_target_1p1,9.687662322074402
4,4,state,m,conditional_interaction,61.18595270011974
4,4,state,net_buffer,target_effect_denominator_1p0,0.0
4,4,state,net_buffer,target_effect_denominator_1p1,0.0
4,4,state,net_buffer,denominator_effect_target_1p0,0.0
4,4,state,net_buffer,denominator_effect_target_1p1,0.0
4,4,state,net_buffer,conditional_interaction,0.0
4,4,state,scaler,target_effect_denominator_1p0,0.0
4,4,state,scaler,target_effect_denominator_1p1,0.0
4,4,state,scaler,denominator_effect_target_1p0,0.0
4,4,state,scaler,denominator_effect_target_1p1,0.0
4,4,state,scaler,conditional_interaction,0.0
4,4,state,theta,target_effect_denominator_1p0,5.475225407280959e-05
4,4,state,theta,target_effect_denominator_1p1,6.722222133248579e-05
4,4,state,theta,denominator_effect_target_1p0,2.1025533897045534e-05
4,4,state,theta,denominator_effect_target_1p1,3.349550115672173e-05
4,4,state,theta,conditional_interaction,1.2469967259676196e-05
4,4,state,v,target_effect_denominator_1p0,18.9260877675988
4,4,state,v,target_effect_denominator_1p1,102.07113717772882
4,4,state,v,denominator_effect_target_1p0,-79.66369631755515
4,4,state,v,denominator_effect_target_1p1,3.4813530925748637
4,4,state,v,conditional_interaction,83.14504941013001
4,16,observable,feature,target_effect_denominator_1p0,-5.33647531320014e-05
4,16,observable,feature,target_effect_denominator_1p1,-0.004314721101803087
4,16,observable,feature,denominator_effect_target_1p0,0.0006516371931724052
4,16,observable,feature,denominator_effect_target_1p1,-0.0036097191554986807
4,16,observable,feature,conditional_interaction,-0.004261356348671086
4,16,observable,residual,target_effect_denominator_1p0,-0.01397852746903816
4,16,observable,residual,target_effect_denominator_1p1,-0.005019043848169202
4,16,observable,residual,denominator_effect_target_1p0,0.007253301949735169
4,16,observable,residual,denominator_effect_target_1p1,0.016212785570604127
4,16,observable,residual,conditional_interaction,0.008959483620868958
4,16,state,EMA,target_effect_denominator_1p0,6.627583388763014e-07
4,16,state,EMA,target_effect_denominator_1p1,2.7300502551952377e-06
4,16,state,EMA,denominator_effect_target_1p0,-3.3012738640536554e-06
4,16,state,EMA,denominator_effect_target_1p1,-1.2339819477347191e-06
4,16,state,EMA,conditional_interaction,2.0672919163189363e-06
4,16,state,m,target_effect_denominator_1p0,-8.277524990723805
4,16,state,m,target_effect_denominator_1p1,-1.7079862917183277
4,16,state,m,denominator_effect_target_1p0,-33.127833433113494
4,16,state,m,denominator_effect_target_1p1,-26.558294734108017
4,16,state,m,conditional_interaction,6.569538699005477
4,16,state,net_buffer,target_effect_denominator_1p0,0.0
4,16,state,net_buffer,target_effect_denominator_1p1,0.0
4,16,state,net_buffer,denominator_effect_target_1p0,0.0
4,16,state,net_buffer,denominator_effect_target_1p1,0.0
4,16,state,net_buffer,conditional_interaction,0.0
4,16,state,scaler,target_effect_denominator_1p0,0.0
4,16,state,scaler,target_effect_denominator_1p1,0.0
4,16,state,scaler,denominator_effect_target_1p0,0.0
4,16,state,scaler,denominator_effect_target_1p1,0.0
4,16,state,scaler,conditional_interaction,0.0
4,16,state,theta,target_effect_denominator_1p0,7.730395827820757e-05
4,16,state,theta,target_effect_denominator_1p1,0.0004147234440097236
4,16,state,theta,denominator_effect_target_1p0,-0.0006981348683439137
