seed,horizon,arm,branch_label,space,block,value_norm
4,4,D,B384_to_D,state,v,73533.76959997468
4,4,D,B384_to_D,state,net_buffer,1.4142135623730951
4,4,D,B384_to_D,state,scaler,128.0
4,4,D,B384_to_D,observable,residual,0.9712945291143782
4,4,D,B384_to_D,observable,feature,20.359584468410624
4,16,A,B384_to_A,state,theta,3962.3076226912995
4,16,A,B384_to_A,state,EMA,3962.121371096479
4,16,A,B384_to_A,state,m,450.6990250064029
4,16,A,B384_to_A,state,v,73833.7617116243
4,16,A,B384_to_A,state,net_buffer,1.4142135623730951
4,16,A,B384_to_A,state,scaler,128.0
4,16,A,B384_to_A,observable,residual,0.8360710826382868
4,16,A,B384_to_A,observable,feature,30.144416453696838
4,16,B,B384_to_B,state,theta,3962.307339279875
4,16,B,B384_to_B,state,EMA,3962.1213705252553
4,16,B,B384_to_B,state,m,415.8632052815711
4,16,B,B384_to_B,state,v,73702.41152322055
4,16,B,B384_to_B,state,net_buffer,1.4142135623730951
4,16,B,B384_to_B,state,scaler,128.0
4,16,B,B384_to_B,observable,residual,0.8383053407398527
4,16,B,B384_to_B,observable,feature,30.140753369788207
4,16,C,B384_to_C,state,theta,3962.3076999952577
4,16,C,B384_to_C,state,EMA,3962.1213717592373
4,16,C,B384_to_C,state,m,442.4215000156791
4,16,C,B384_to_C,state,v,73866.28254242742
4,16,C,B384_to_C,state,net_buffer,1.4142135623730951
4,16,C,B384_to_C,state,scaler,128.0
4,16,C,B384_to_C,observable,residual,0.8220925551692486
4,16,C,B384_to_C,observable,feature,30.144363088943706
4,16,D,B384_to_D,state,theta,3962.306924556431
4,16,D,B384_to_D,state,EMA,3962.121367795205
4,16,D,B384_to_D,state,m,417.5711915732894
4,16,D,B384_to_D,state,v,73538.68877312509
4,16,D,B384_to_D,state,net_buffer,1.4142135623730951
4,16,D,B384_to_D,state,scaler,128.0
4,16,D,B384_to_D,observable,residual,0.843324384588022
4,16,D,B384_to_D,observable,feature,30.14506809089001
4,64,A,B384_to_A,state,theta,3962.3064490983843
4,64,A,B384_to_A,state,EMA,3962.125575580688
4,64,A,B384_to_A,state,m,473.3779599663637
4,64,A,B384_to_A,state,v,73405.14443774836
4,64,A,B384_to_A,state,net_buffer,1.4142135623730951
4,64,A,B384_to_A,state,scaler,128.0
4,64,A,B384_to_A,observable,residual,0.9874190593002931
4,64,A,B384_to_A,observable,feature,25.886307368221573
4,64,B,B384_to_B,state,theta,3962.3058272318044
4,64,B,B384_to_B,state,EMA,3962.125590992581
4,64,B,B384_to_B,state,m,406.946115786162
4,64,B,B384_to_B,state,v,73051.68152280973
4,64,B,B384_to_B,state,net_buffer,1.4142135623730951
4,64,B,B384_to_B,state,scaler,128.0
4,64,B,B384_to_B,observable,residual,1.0086853610565876
4,64,B,B384_to_B,observable,feature,25.877079677166513
4,64,C,B384_to_C,state,theta,3962.3063230201865
4,64,C,B384_to_C,state,EMA,3962.125582798287
4,64,C,B384_to_C,state,m,475.91621462825077
4,64,C,B384_to_C,state,v,73730.29660634209
4,64,C,B384_to_C,state,net_buffer,1.4142135623730951
4,64,C,B384_to_C,state,scaler,128.0
4,64,C,B384_to_C,observable,residual,1.0016131591550792
4,64,C,B384_to_C,observable,feature,25.880271639032753
4,64,D,B384_to_D,state,theta,3962.3046580392024
4,64,D,B384_to_D,state,EMA,3962.1255588812555
4,64,D,B384_to_D,state,m,417.94384404355105
4,64,D,B384_to_D,state,v,72768.32812494291
4,64,D,B384_to_D,state,net_buffer,1.4142135623730951
4,64,D,B384_to_D,state,scaler,128.0
4,64,D,B384_to_D,observable,residual,1.0142920529768205
4,64,D,B384_to_D,observable,feature,25.889508978392954
4,128,A,B384_to_A,state,theta,3962.314453659143
4,128,A,B384_to_A,state,EMA,3962.131145883394
4,128,A,B384_to_A,state,m,462.51594431047016
4,128,A,B384_to_A,state,v,72867.45112530605
4,128,A,B384_to_A,state,net_buffer,1.4142135623730951
4,128,A,B384_to_A,state,scaler,128.0
4,128,A,B384_to_A,observable,residual,2.0402090692495696
4,128,A,B384_to_A,observable,feature,33.29373421006071
4,128,B,B384_to_B,state,theta,3962.312290879857
4,128,B,B384_to_B,state,EMA,3962.13114320382
4,128,B,B384_to_B,state,m,437.2783561893254
4,128,B,B384_to_B,state,v,71667.79280545423
4,128,B,B384_to_B,state,net_buffer,1.4142135623730951
4,128,B,B384_to_B,state,scaler,128.0
4,128,B,B384_to_B,observable,residual,1.947562061582864
4,128,B,B384_to_B,observable,feature,33.27323790948283
4,128,C,B384_to_C,state,theta,3962.315000431258
4,128,C,B384_to_C,state,EMA,3962.131172327989
4,128,C,B384_to_C,state,m,447.4403134975137
4,128,C,B384_to_C,state,v,73185.9845537924
4,128,C,B384_to_C,state,net_buffer,1.4142135623730951
4,128,C,B384_to_C,state,scaler,128.0
4,128,C,B384_to_C,observable,residual,2.1587731060062145
4,128,C,B384_to_C,observable,feature,33.28779745715364
4,128,D,B384_to_D,state,theta,3962.313202398861
4,128,D,B384_to_D,state,EMA,3962.1311021084452
4,128,D,B384_to_D,state,m,469.58079727856233
4,128,D,B384_to_D,state,v,71659.71434303178
4,128,D,B384_to_D,state,net_buffer,1.4142135623730951
4,128,D,B384_to_D,state,scaler,128.0
