job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed4-armBsame-kimg000384-nfe2,4,Bsame,384,2,0.821,19.192081430085576,0.014122187635135106,50000,0,49999,20260730,fp32,server-main,1787563063.6655917,1787563055.3597193,SEALED_PASS
seed4-armBsame-kimg000512-nfe1,4,Bsame,512,1,,36.603534811931617,0.028988979637137119,50000,0,49999,20260730,fp32,server-main,1787563066.6155767,1787563054.774012,SEALED_PASS
seed4-armBsame-kimg000512-nfe2,4,Bsame,512,2,0.821,7.5891785456831187,0.0042284512862863039,50000,0,49999,20260730,fp32,server-main,1787563167.9782045,1787563162.7015815,SEALED_PASS
seed4-armBsame-kimg000640-nfe1,4,Bsame,640,1,,11.814579885119141,0.0072019493843843881,50000,0,49999,20260730,fp32,server-main,1787563154.9378514,1787563149.6311224,SEALED_PASS
seed4-armBsame-kimg000640-nfe2,4,Bsame,640,2,0.821,4.0549161192300893,0.0015195280305305323,50000,0,49999,20260730,fp32,server-main,1787563309.5140493,1787563304.502177,SEALED_PASS
seed4-armBsame-kimg000768-nfe1,4,Bsame,768,1,,8.9634337205088315,0.0052346579204204137,50000,0,49999,20260730,fp32,server-main,1787563243.3124354,1787563237.949438,SEALED_PASS
seed4-armBsame-kimg000768-nfe2,4,Bsame,768,2,0.821,3.2153388984172131,0.0010614584759759326,50000,0,49999,20260730,fp32,server-main,1787563406.074851,1787563400.9341035,SEALED_PASS
seed4-armBsame-kimg000896-nfe1,4,Bsame,896,1,,8.5208853194802323,0.0051762347872872762,50000,0,49999,20260730,fp32,server-main,1787563343.8330166,1787563338.7092736,SEALED_PASS
seed4-armBsame-kimg000896-nfe2,4,Bsame,896,2,0.821,3.0156002652948706,0.0010810195870870939,50000,0,49999,20260730,fp32,server-main,1787563494.9069183,1787563489.550944,SEALED_PASS
seed4-armBsame-kimg001024-nfe1,4,Bsame,1024,1,,8.4121906371041426,0.0052455194419419376,50000,0,49999,20260730,fp32,server-main,1787563486.7178733,1787563480.9713206,SEALED_PASS
seed4-armBsame-kimg001024-nfe2,4,Bsame,1024,2,0.821,2.8851866457016371,0.0010327727077077452,50000,0,49999,20260730,fp32,server-main,1787563593.498822,1787563584.8504899,SEALED_PASS
seed4-armBmatch-kimg000256-nfe1,4,Bmatch,256,1,,308.83084581983132,0.32311655215215207,50000,0,49999,20260730,fp32,server-main,1787562069.3648725,1787562063.39129,SEALED_PASS
seed4-armBmatch-kimg000256-nfe2,4,Bmatch,256,2,0.821,60.849891457664512,0.045945555660660643,50000,0,49999,20260730,fp32,server-main,1787562195.676582,1787562184.7018065,SEALED_PASS
seed4-armBmatch-kimg000384-nfe1,4,Bmatch,384,1,,194.27594134271658,0.19451311786286288,50000,0,49999,20260730,fp32,server-main,1787562194.2511547,1787562184.8791316,SEALED_PASS
seed4-armBmatch-kimg000384-nfe2,4,Bmatch,384,2,0.821,22.424982073176981,0.01391239843343345,50000,0,49999,20260730,fp32,server-main,1787562319.831507,1787562314.4281027,SEALED_PASS
seed4-armBmatch-kimg000512-nfe1,4,Bmatch,512,1,,23.604765000676402,0.017878649334334331,50000,0,49999,20260730,fp32,server-main,1787562297.7921722,1787562292.974927,SEALED_PASS
seed4-armBmatch-kimg000512-nfe2,4,Bmatch,512,2,0.821,5.8780024296654458,0.0041350726251250993,50000,0,49999,20260730,fp32,server-main,1787562443.5417116,1787562438.6611357,SEALED_PASS
seed4-armBmatch-kimg000640-nfe1,4,Bmatch,640,1,,10.771673394842757,0.0067482135160160071,50000,0,49999,20260730,fp32,server-main,1787562372.5773516,1787562367.40677,SEALED_PASS
seed4-armBmatch-kimg000640-nfe2,4,Bmatch,640,2,0.821,3.4139376757009727,0.0014565496521521436,50000,0,49999,20260730,fp32,server-main,1787562551.1433535,1787562544.980409,SEALED_PASS
seed4-armBmatch-kimg000768-nfe1,4,Bmatch,768,1,,9.1319239436149822,0.0055483070195194977,50000,0,49999,20260730,fp32,server-main,1787562497.7828748,1787562492.6041741,SEALED_PASS
seed4-armBmatch-kimg000768-nfe2,4,Bmatch,768,2,0.821,2.9825124372009921,0.0010948099899899808,50000,0,49999,20260730,fp32,server-main,1787562631.7814736,1787562620.6364715,SEALED_PASS
seed4-armBmatch-kimg000896-nfe1,4,Bmatch,896,1,,8.2791067855886951,0.005042995030030006,50000,0,49999,20260730,fp32,server-main,1787562629.3326538,1787562621.4233491,SEALED_PASS
seed4-armBmatch-kimg000896-nfe2,4,Bmatch,896,2,0.821,2.8147319277902745,0.0010481434584584759,50000,0,49999,20260730,fp32,server-main,1787562744.6964803,1787562739.1495492,SEALED_PASS
