phase,label,gpu_index,elapsed_seconds,gpu_hours
evaluation,368631ae29e5760a9efd2858,0,641.3573041250929,0.1781548067014147
evaluation,369c75d14c025f1b4dd86658,3,639.6342677827924,0.17767618549522013
evaluation,38081f11a73fb7b1baacfd5f,4,242.44244060479105,0.06734512239021974
evaluation,390c6d56a170042864725f9f,5,212.38949651643634,0.05899708236567676
evaluation,39d215b4c174d840f877a645,2,669.708515368402,0.18603014315788943
evaluation,3a05bf73009642e812beaa68,5,822.1248254003003,0.22836800705563898
evaluation,3a26c53a0190e045c2bbd71f,2,580.1418885216117,0.16115052458933657
evaluation,3d481182d580f55a25492233,0,304.0022734524682,0.08444507595901896
evaluation,3d5b31ef8d14c35ff91a53bf,4,671.5564705692232,0.18654346404700645
evaluation,405eee77e66558b23eef8b26,5,730.6334377313033,0.2029537327031398
evaluation,41af055505c8138ace4d8987,5,639.850258002989,0.17773618277860806
evaluation,41cf09b448d1f6ce399d568e,1,274.10847384110093,0.07614124273363915
evaluation,433bfddfcdb16c5a24436c5b,3,700.3612743020058,0.19454479841722383
evaluation,4352c3ca6ff6e53f0697e602,5,610.4159528883174,0.1695599869134215
evaluation,44564c1f8855e0767d99a8c8,4,335.2864857232198,0.09313513492311662
evaluation,4457db167077545b67a750cc,5,243.42011160217226,0.06761669766727008
evaluation,448216b69c4f2acc80044c5b,2,608.7971292566508,0.169110313682403
evaluation,452735cffa7101ffd571aa65,2,670.3697549924254,0.18621382083122928
evaluation,48a58ca35c03410a7c7a7368,2,333.8944164002314,0.09274844900006428
evaluation,48b9fbdcb13429b5bb659a25,1,242.821558047086,0.06745043279085722
evaluation,4a0d02530a59233f604067c1,3,549.490914190188,0.15263636505283001
evaluation,4b5bd08e10a2f583f144d4a5,5,761.1845880150795,0.21144016333752208
evaluation,4c770bcf3cf44617ced627d7,3,699.8234432665631,0.19439540090737864
evaluation,4db0a606352223952d771622,2,242.57227208372205,0.0673811866899228
evaluation,4e065b86974304e8f584494c,5,609.3743892638013,0.16927066368438926
evaluation,4f0d0762b5404440d8155c0f,1,212.235555219464,0.05895432089429556
evaluation,4fed58c0e7f708f4ada9578d,5,242.66866861935705,0.06740796350537696
evaluation,514c95bf12e1e2d6f689a01f,1,212.85822160635144,0.059127283779542066
evaluation,532b8fe93fecd49d39c4860a,1,517.1626357771456,0.1436562877158738
evaluation,53a376abe179f4568f32c698,4,333.71589802671224,0.09269886056297562
evaluation,557637c4dd8ebd9c3c971f27,0,609.4707018639892,0.16929741718444147
evaluation,55f4369e5b9bc154f2612849,2,486.6936329966411,0.1351926758324003
evaluation,564eb9c5510ef4cb7c7ccc91,5,212.37736949976534,0.05899371374993482
evaluation,570269f91c47be308ca7802a,2,242.94551527313888,0.06748486535364968
